title,region,number_of_rooms,quadrat,date,price
Super banese me qira ne Emshir 3+1,Prishtine,3,115m 2,10/07/2023,300 €
Leshohet banese me qira ne Arberi,Prishtine,1,60m 2,10/07/2023,300 €
Banes me qira ne Mati 1,Prishtine,1,65m 2,10/07/2023,200 €
Leshohet banese me qira ne Arberi 2+1,Prishtine,2,80m 2,10/07/2023,350 €
Leshohet banese me qira te Bregu i Diellit,Prishtine,1,64m 2,10/07/2023,190 €
Leshohet banese me qira ne Emshir,Prishtine,1,55m 2,10/07/2023,250 €
Leshohet banese me qira ne Ulpiane 2+1,Prishtine,2,60m 2,10/07/2023,300 €
Leshohet banese me qira ne Ulpiane 2+1,Prishtine,2,60m 2,10/07/2023,300 €
Leshohet banese me qira ne Ulpiane,Prishtine,2,67m 2,10/07/2023,280 €
Banese me qira ne Breg te Diellit,Prishtine,1,54m 2,10/07/2023,200 €
Banese me qira ne Dardani 2+1,Prishtine,2,70m 2,10/07/2023,350 €
Banese me qira ne Aktash,Prishtine,2,86m 2,10/07/2023,250 €
Leshohet banese me qira ne Bregun e Diellit,Prishtine,1,65m 2,10/07/2023,200 €
Banese me qira ne Dardani ( te Santea ),Prishtine,2,80m 2,10/07/2023,270 €
Ekstra banese me qira te Sllovenia Sporti,Prishtine,2,130m 2,10/07/2023,500 €
Banese me qira ne Arberi 1+1,Prishtine,1,65m 2,10/07/2023,280 €
Banese me qira ne Lagjen e Muhagjerve 1+1,Prishtine,1,61m 2,10/07/2023,300 €
Super Banese me qera ne Arberi,Prishtine,1,55m 2,10/07/2023,280 €
Banes me qira ne Emshir e pa banuar me pare,Prishtine,2,75m 2,10/07/2023,350 €
Banese me qira e renovuar ne Dardani,Prishtine,2,75m 2,10/07/2023,250 €
Banes me qira ne Mati 1,Prishtine,2,75m 2,10/07/2023,350 €
Banese komode me qira ne Dardani,Prishtine,1,65m 2,10/07/2023,200 €
Banese me qira te Sllovenia Sporti 2+1,Prishtine,2,75m 2,10/07/2023,350 €
Banes me qira ne Dardani,Prishtine,1,65m 2,10/07/2023,290 €
