,title,region,number_of_rooms,quadrat,price,date,Neighborhood
195,Banese me qira te Parku i qytetit,Prishtine,1,70m 2,250 €,10/07/2023,Lagjja e Muhaxherëve
196,Banes Komode me Qira ne Mat te Super Viva 2,Prishtine,1,72m 2,350 €,10/07/2023,Ulpiana 1
197,Banese ( garsoniere ) me qira ne lagjen Mati 1,Prishtine,1,45m 2,200 €,10/07/2023,Ulpiana 1
198,Ipet banese me qira ne lagjen Pejton,Prishtine,2,73m 2,380 €,10/07/2023,Lakrishta
199,Leshohet banese me qira ne lagjen Arberia,Prishtine,2,95m 2,350 €,10/07/2023,Arbëria (Dragodani)
200,Leshohet banese me qira ne lagjen Ulpiana,Prishtine,2,72m 2,250 €,10/07/2023,Ulpiana
201,Super banese me qira ne lagjen Lakrishte,Prishtine,1,60m 2,300 €,10/07/2023,Lakrishta
202,Banes Komode me Qira ne Fushe Kosove Afer Fures Vlora,Fushe Kosove,1,65m 2,190 €,10/07/2023,Fushe Kosove
203,Banes Komode me Qira ne Arberi Afer Qafes te Pandora,Prishtine,2,85m 2,350 €,10/07/2023,Arbëria (Dragodani)
204,Leshohet banese me qira ne Qender,Prishtine,2,75m 2,400 €,10/07/2023,Qendra
205,Leshohet banese me qira ne Lagjen e Spitalit,Prishtine,1,65m 2,250 €,10/07/2023,Lagjen e Spitalit
206,Leshohet banese me qira ne Qender,Prishtine,1,50m 2,250 €,10/07/2023,Qendra
207,Banese me qira ( per zyre ) ne Qender,Prishtine,1,54m 2,300 €,10/07/2023,Qendra
208,Banese me qira ne Qender,Prishtine,3,100m 2,350 €,10/07/2023,Qendra
209,Super banese me qira ne Rrugen B,Prishtine,2,90m 2,400 €,10/07/2023,Rruga B
210,Banese ( garsoniere ) me qira te Bregu i diellit,Prishtine,1,35m 2,200 €,10/07/2023,Kodra e Diellit
211,Ipet banese me qira ne lagjen Bregu i diellit,Prishtine,2,75m 2,300 €,10/07/2023,Kodra e Diellit
212,Banes me qira ne Qender 2+1,Prishtine,2,80m 2,400 €,10/07/2023,Qendra
213,Banese me qira ne Mati 1,Prishtine,2,76m 2,300 €,10/07/2023,Ulpiana 1
214,Super banese me qira ne Emshir 3+1,Prishtine,3,115m 2,300 €,10/07/2023,Kalabria
215,Leshohet banese me qira ne Arberi,Prishtine,1,60m 2,300 €,10/07/2023,Arbëria (Dragodani)
216,Banes me qira ne Mati 1,Prishtine,1,65m 2,200 €,10/07/2023,Ulpiana 1
217,Leshohet banese me qira ne Arberi 2+1,Prishtine,2,80m 2,350 €,10/07/2023,Arbëria (Dragodani)
